Team,FGM(2014),Avg1st(2014),Tdowns(2014),FGM(2015),Avg 1st(2015),Tdowns(2015),FGM(2016),Avg 1st(2016),Tdowns(2016),FGM(2017),Avg 1st(2017),Tdowns(2017)
Arizona Cardinals,29,18.9,32,28,23.3,58,21,23,51,32,19.4,29
Atlanta Falcons,29,20.6,42,25,22.4,38,34,23.7,63,34,20.6,36
Baltimore Ravens,29,21.6,46,33,20.2,33,38,19.8,32,34,19.4,42
Buffalo Bills,34,17.1,34,23,18.6,45,19,20.5,49,29,17.4,31
Carolina Panthers,29,21.7,36,30,22.3,59,30,19.9,40,29,20,40
Chicago Bears,12,20.1,40,33,19.5,34,18,20.2,32,16,16.7,31
Cincinnati Bengals,26,19.6,40,23,20.2,50,28,21.3,35,18,16.7,34
Cleveland Browns,25,18.4,32,28,19.2,28,21,18.5,29,15,18.1,27
Dallas Cowboys,25,21.4,56,30,19.2,26,27,22.4,49,22,19.6,42
Denver Broncos,24,22.5,58,30,19.6,38,29,18.1,35,24,18.6,31
Detroit Lions,25,19.4,35,22,21.2,42,31,20.6,36,30,18.5,46
Green Bay Packers,27,22.2,58,24,19.8,42,26,21.8,51,15,19.2,40
Houston Texans,30,19.6,40,23,20.9,39,35,19.1,25,20,19.6,40
Indianapolis Colts,30,23.2,53,25,19.4,37,27,21.9,47,29,16.7,25
Jacksonville Jaguars,20,16.9,27,26,19.6,44,27,20.1,34,30,20.8,47
Kansas City Chiefs,25,19.3,40,30,18.9,45,31,19.1,42,41,20.1,42
Miami Dolphins,29,22.6,42,13,18.2,39,19,15.3,24,20,21.1,43
Minnesota Vikings,26,18,35,34,18.6,38,16,17.4,45,40,19.4,51
New England Patriots,35,22.6,52,33,21.7,52,27,18.9,36,21,17.8,31
New Orleans Saints,19,24.7,49,18,23.8,51,27,21.9,51,32,20.9,41
New York Giants,24,21,44,30,20.7,47,28,24.7,55,37,24.3,49
New York Jets,32,18.1,27,27,20.6,44,21,18.1,36,31,20.8,51
Oakland Raiders,19,15.5,28,21,18.8,42,27,18.2,28,18,16.9,28
Philadelphia Eagles,32,22.2,54,21,21.2,45,29,20.9,47,25,16.8,32
Pittsburgh Steelers,29,23.7,49,35,20.7,45,35,20.8,37,16,17.9,36
San Diego Chargers,22,20.4,40,26,21.5,35,24,21,47,29,21.1,53
San Francisco 49ers,25,18.9,33,24,16.3,24,26,21.2,48,35,21.8,43
Seattle Seahawks,31,20.5,43,29,20.9,49,18,17.9,36,39,20.1,31
St. Louis Rams,24,18,36,21,15.1,31,33,19.6,37,21,18.7,43
Tampa Bay Buccaneers,20,16.4,31,29,21,37,22,21.2,41,25,22,38
Tennessee Titans,19,16.1,28,14,18.6,37,22,20.1,46,35,18.1,33
Washington Redskins,24,19.9,33,26,19.8,44,34,21.6,43,24,17.4,39
